"('year', '')","('month', '')","('station', '')","('weather_tavg', 'mean')","('weather_tmin', 'mean')","('weather_tmax', 'mean')","('weather_prcp', 'sum')","('weather_prcp', 'max')","('weather_prcp', 'min')","('weather_prcp', 'mean')","('weather_wdir', 'mean')","('weather_wspd', 'mean')","('lon', 'mean')","('lat', 'mean')"
1980,1,Ireland,4.34731182795699,1.2034090909090909,6.845555555555555,324.5,29.2,0.0,3.565934065934066,194.5,16.79397590361446,-7.3055,53.77980000000001
1980,1,Switzerland,-0.3596774193548387,-2.3021505376344087,2.5591397849462365,285.9,31.6,0.0,3.0741935483870964,88.28571428571429,10.9,8.2275,46.8182
1980,2,Ireland,6.635632183908045,3.4,9.549425287356321,284.3,22.1,0.0,3.3845238095238095,216.9268292682927,15.284722222222221,-7.305500000000001,53.7798
1980,2,Switzerland,3.8086206896551724,1.3620689655172413,7.882758620689654,204.5,31.0,0.0,2.3505747126436782,229.5,8.577777777777778,8.2275,46.8182
1980,3,Ireland,5.564516129032258,2.4258426966292137,9.037362637362637,274.2,29.4,0.0,3.013186813186813,198.578125,20.74375,-7.3055,53.77980000000001
1980,3,Switzerland,5.138709677419355,2.168817204301075,9.364516129032257,251.5,21.2,0.0,2.704301075268817,239.33333333333334,9.809999999999999,8.2275,46.8182
1980,4,Ireland,8.76,4.5311111111111115,13.055555555555555,67.6,12.2,0.0,0.7511111111111111,277.6545454545454,14.145882352941177,-7.3055,53.779799999999994
1980,4,Switzerland,6.791666666666667,3.1488888888888886,11.395555555555555,118.2,12.7,0.0,1.3133333333333335,38.333333333333336,11.178947368421053,8.2275,46.8182
1980,5,Ireland,10.958064516129033,6.739784946236559,15.027956989247311,98.6,10.9,0.0,1.0835164835164834,165.6078431372549,15.574444444444445,-7.3055,53.77980000000001
1980,5,Switzerland,11.149999999999999,6.749462365591398,16.39462365591398,224.6,28.0,0.0,2.41505376344086,36.0,9.873076923076923,8.2275,46.8182
1980,6,Ireland,12.738888888888889,9.523863636363636,16.52,172.1,13.0,0.0,2.024705882352941,229.82456140350877,16.847435897435897,-7.3055,53.779799999999994
1980,6,Switzerland,14.661666666666667,10.658888888888889,19.294444444444444,384.5,21.5,0.0,4.272222222222222,230.0,8.830769230769231,8.2275,46.8182
1980,7,Ireland,13.763440860215054,10.637777777777778,17.134408602150536,242.9,19.1,0.0,2.669230769230769,222.06060606060606,17.708235294117646,-7.3055,53.77980000000001
1980,7,Switzerland,15.853225806451613,11.581720430107525,20.693548387096776,358.3,37.9,0.0,3.852688172043011,243.0,9.025,8.2275,46.8182
1980,8,Ireland,14.938709677419354,11.693406593406593,18.478021978021978,327.8,34.6,0.0,3.6831460674157306,207.24528301886792,16.613580246913582,-7.3055,53.77980000000001
1980,8,Switzerland,18.516129032258064,13.948387096774194,23.5247311827957,246.4,42.9,0.0,2.649462365591398,,6.466666666666667,8.2275,46.8182
1980,9,Ireland,13.923333333333332,10.874157303370787,16.93777777777778,360.59999999999997,42.9,0.0,4.006666666666666,215.40845070422534,19.50722891566265,-7.3055,53.779799999999994
1980,9,Switzerland,15.365,11.02111111111111,21.046666666666667,129.1,21.7,0.0,1.4344444444444444,240.0,5.617391304347826,8.2275,46.8182
1980,10,Ireland,9.413978494623656,6.189247311827957,12.290322580645162,405.8,23.1,0.0,4.363440860215054,218.3768115942029,19.206666666666667,-7.3055,53.77980000000001
1980,10,Switzerland,8.629032258064516,5.464516129032258,13.035483870967742,367.3,26.5,0.0,3.949462365591398,226.75,9.010526315789473,8.2275,46.8182
1980,11,Ireland,7.597777777777777,4.875,9.83,235.6,29.0,0.0,2.708045977011494,182.76,22.11294117647059,-7.3055,53.779799999999994
1980,11,Switzerland,3.3316666666666666,0.5988888888888889,6.441111111111112,144.6,15.2,0.0,1.6066666666666667,42.75,11.252173913043478,8.2275,46.8182
1980,12,Ireland,6.912903225806452,3.785227272727273,9.342857142857143,298.5,20.1,0.0,3.2096774193548385,240.6056338028169,23.27179487179487,-7.3055,53.77980000000001
1980,12,Switzerland,-0.3354838709677419,-2.749462365591398,3.0978494623655917,151.4,18.0,0.0,1.6279569892473118,190.21428571428572,12.432,8.2275,46.8182
1981,1,Ireland,6.818279569892473,4.1,8.988172043010753,146.3,15.2,0.0,1.5731182795698926,251.01492537313433,20.389285714285716,-7.3055,53.77980000000001
1981,1,Switzerland,-1.5183333333333333,-3.838709677419355,1.4913978494623654,268.8,21.8,0.0,2.8903225806451616,178.33333333333334,12.095454545454544,8.2275,46.8182
1981,2,Ireland,5.508333333333333,2.5773809523809526,8.164285714285715,234.6,19.1,0.0,2.8609756097560974,198.15942028985506,20.773170731707317,-7.3055,53.7798
